,Symbol,Name
0,MASPTOP50,S&P 500 Top 50 Total Return Index
1,HNGSNGBEES,Hang Seng Index
2,MAFANG,NYSE FANG+ Total Return Index
3,BSLGOLDETF,Gold
4,SILVRETF,Mirae Asset Silver ETF
5,MON100,Nasdaq100
6,AXISILVER,Axis Silver ETF
7,ESILVER,Edelweiss Silver ETF
8,SBISILVER,SBI SILVER ETF
9,AXISGOLD,Gold
10,ITIETF,Nifty IT Index
11,HDFCNIFIT,HDFC NIFTY IT ETF
12,BBNPPGOLD,Baroda BNP Paribas Gold ETF
13,SILVER1,Kotak Silver ETF
14,SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF)
15,IVZINGOLD,Gold
16,SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price
17,MONQ50,Nasdaq Q-50 Total Return Index
18,LICNMID100,LIC MF Nifty Midcap 100 ETF
19,TATSILV,Tata Silver Exchange Traded Fund
20,SILVER,Physical price of Silver
21,AXISTECETF,NIFTY IT Index
22,LICMFGOLD,Gold
23,GOLDCASE,Zerodha Gold ETF
24,NIFITETF,UTI Nifty IT ETF
25,GROWWGOLD,Commodity
26,HDFCGOLD,Gold
27,SETFGOLD,Gold
28,SILVERADD,DSP Silver ETF
29,GOLDETFADD,DSP Gold ETF
30,GOLDBEES,Gold
31,ITETF,Mirae Asset Nifty IT ETF
32,HDFCSILVER,HDFC Silver ETF
33,GOLD1,Gold
34,QGOLDHALF,Gold
35,GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF
36,EGOLD,Edelweiss Gold ETF
37,SILVERIETF,Domestic Price of Silver
38,GOLDSHARE,Gold
39,GOLDIETF,Gold
40,SBIETFIT,Nifty IT Index
41,TATAGOLD,Tata Gold Exchange Traded Fund
42,ITBEES,Nifty IT TRI
43,ITETFADD,DSP Nifty IT ETF
44,GOLDETF,Mirae Asset Gold ETF
45,IT,NIFTY IT Index
46,SDL26BEES,Nifty SDL Apr 2026 Top 20 Equal Weight Index
47,MOM50,Nifty 50
48,AXISHCETF,Nifty Healthcare Index
49,TECH,Nifty IT TRI Index
50,BBETF0432,Nifty BHARAT Bond Index - April 2032
51,LICNETFGSC,GSEC10 NSE Index
52,FMCGIETF,Nifty FMCG Index
53,HEALTHY,Nifty Healthcare TRI
54,SETF10GILT,Nifty 10 yr Benchmark G-Sec Index
55,HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF
56,LTGILTBEES,NIFTY 8-13 yr G-Sec Index
57,EBBETF0433,BHARAT Bond ETF-April 2033
58,EBBETF0431,Nifty BHARAT Bond
59,EBBETF0425,Nifty BHARAT Bond
60,LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF
61,SBIETFQLTY,Nifty 200 Quality 30 Index
62,QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF
63,HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF
64,GROWWLIQID,Nifty 1D Rate Index
65,LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF
66,LIQUID1,Kotak Nifty 1D Rate Liquid ETF
67,NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
68,LIQUIDADD,DSP S&P BSE Liquid Rate ETF
69,HDFCPVTBAN,HDFC NIFTY Private Bank ETF
70,GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index
71,EBBETF0430,Nifty BHARAT Bond
72,ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF
73,LIQUIDBEES,Government Securities
74,NIF10GETF,UTI Nifty 10 yr Benchmark G-Sec ETF
75,NIF5GETF,UTI Nifty 5 yr Benchmark G-Sec ETF
76,NAVINIFTY,Navi Nifty 50 ETF
77,LIQUIDSBI,SBI NIFTY 1D Rate ETF
78,LIQUIDIETF,S&P BSE Liquid Rate Index
79,LIQUIDETF,Nifty1D rate index
80,GSEC10ABSL,CRISIL 10 Year Gilt ETF
81,LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF
82,HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF
83,LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF
84,ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF
85,GSEC10IETF,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF
86,GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index
87,HEALTHIETF,Nifty Healthcare Index
88,SBIETFCON,Nifty India Consumption Index
89,HEALTHADD,DSP Nifty Healthcare ETF
90,CONSUMBEES,Nifty India Consumption TRI
91,AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index
92,AXISCETF,NIFTY India Consumption Index
93,BANKETFADD,DSP Nifty Bank ETF
94,HDFCQUAL,HDFC NIFTY100 Quality 30 ETF
95,SENSEXIETF,SENSEX
96,TOP10ADD,Nifty Top 10 Equal Weight Index
97,IVZINNIFTY,Nifty 50
98,AXSENSEX,AXIS S&P BSE SENSEX ETF
99,AUTOIETF,Nifty Auto Index
100,LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF
101,NIFTY1,Nifty 50
102,TOP100CASE,Zerodha Nifty 100 ETF
103,LOWVOLIETF,Nifty 100 Low Volatility 30 Index
104,NIFTYBEES,Nifty 50
105,SENSEXETF,Mirae Asset S&P BSE Sensex ETF
106,EQUAL50ADD,NIFTY 50 Equal Weight Index
107,NIFTYETF,Nifty 50
108,CONS,Kotak Nifty India Consumption ETF
109,HDFCSENSEX,SENSEX
110,BSLSENETFG,BSE SENSEX Index
111,TNIDETF,Nifty India Digital Index
112,UTINIFTETF,Nifty 50
113,NIFTYIETF,Nifty 50
114,AXISNIFTY,Nifty 50
115,SETFNIF50,Nifty 50
116,BSLNIFTY,Nifty 50
117,CONSUMIETF,Nifty India Consumption Index
118,NV20IETF,Nifty50 Value 20
119,QNIFTY,Nifty 50
120,NV20BEES,Nifty50 Value20 TRI
121,SBIETFPB,Nifty Private Bank Index
122,HDFCNIFTY,Nifty 50
123,ESG,NIFTY100 ESG SECTOR LEADERS
124,BFSI,Nifty Financial Services Index
125,MNC,Kotak Nifty MNC ETF
126,NV20,Nifty50 Value 20
127,NETF,Tata Nifty 50 Exchange Traded Fund
128,ALPL30IETF,Nifty Alpha Low-Volatility 30 Index
129,IDFNIFTYET,Nifty 50
130,SENSEXADD,DSP S&P BSE Sensex ETF
131,NIFTYBETF,Bajaj Finserv Nifty 50 ETF
132,MIDQ50ADD,Nifty Midcap 150 Quality 50 Index
133,SBINEQWETF,Nifty50 Equal Weight
134,MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF
135,NIFTY50ADD,Nifty 50 Index
136,SHARIABEES,Shariah
137,PVTBANKADD,DSP Nifty Private Bank ETF
138,PHARMABEES,Nifty Pharma TRI
139,NIF100BEES,Nifty 100 TRI
140,AUTOBEES,Nifty Auto TRI
141,PVTBANIETF,Nifty Private Bank Index
142,BANKNIFTY1,Nifty Bank
143,NIF100IETF,Nifty 100
144,LICNETFN50,Nifty 50
145,SETFNIFBK,Nifty Bank
146,EBANKNIFTY,Edelweiss Nifty Bank ETF
147,MOLOWVOL,Nifty Midcap 100 TRI
148,MAKEINDIA,Nifty India Manufacturing Total Return Index
149,MONIFTY500,Motilal Oswal Nifty 500 ETF
150,BANKETF,Mirae Asset Nifty Bank ETF
151,MOQUALITY,Motilal Oswal S&P BSE Quality ETF
152,HDFCNIF100,HDFC NIFTY 100 ETF
153,HDFCBSE500,HDFC S&P BSE 500 ETF
154,BANKBETF,Bajaj Finserv Nifty Bank ETF
155,UTIBANKETF,Nifty Bank
156,BANKBEES,Nifty Bank
157,METALIETF,Nifty Metal Index
158,BANKIETF,Nifty Bank
159,DIVOPPBEES,Nifty Dividend Opportunities 50 TRI
160,UTISENSETF,SENSEX
161,ABSLBANETF,Nifty Bank
162,BSE500IETF,S&P BSE 500 index
163,HDFCNIFBAN,Nifty Bank
164,UTISXN50,BSE Sensex Next 50
165,MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF
166,MOGSEC,Nifty 5 yr Benchmark G-Sec Index
167,NEXT50,Nifty Next 50
168,MULTICAP,Nifty500 Multicap 50:25:25 Index
169,HDFCVALUE,HDFC NIFTY50 Value 20 ETF
170,GROWWEV,Nifty EV and New Age Automotive Index
171,MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
172,MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF
173,MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index
174,LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF
175,AXISBNKETF,Nifty Bank
176,INFRABEES,Nifty Infra
177,JUNIORBEES,Nifty Next 50
178,EVINDIA,Nifty EV and New Age Automotive Total Return Index
179,NPBET,Nifty Private Bank Index
180,LICNFNHGP,Nifty 100
181,INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
182,FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF
183,METAL,Nifty Metal Total Return Index
184,MID150CASE,Zerodha Nifty Midcap 150 ETF
185,SETFNN50,Nifty Next 50
186,BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF
187,NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF)
188,UTINEXT50,Nifty Next 50
189,HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF
190,MIDSELIETF,S&P BSE Midcap Select Index
191,MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF
192,ICICIB22,S&P BSE BHARAT 22 index
193,MID150BEES,Nifty Midcap 150 TRI
194,ABSLNN50ET,Nifty Next 50
195,ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF
196,MOM100,Nifty Midcap 100
197,GROWWDEFNC,Nifty India Defence Index- Total Return Index
198,HDFCMID150,HDFC NIFTY Midcap 150 ETF
199,MIDCAPIETF,Nifty Midcap 150
200,SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
201,HDFCNEXT50,HDFC NIFTY NEXT 50 ETF
202,MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF
203,PSUBANKADD,DSP Nifty PSU Bank ETF
204,MOMENTUM50,Nifty 500 Momentum 50 Total Return Index
205,HDFCPSUBK,HDFC NIFTY PSU BANK ETF
206,MODEFENCE,Nifty India Defence Total Return Index
207,HDFCSML250,HDFC NIFTY Smallcap 250 ETF
208,COMMOIETF,ICICI Prudential Nifty Commodities ETF
209,MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF
210,MIDCAP,Nifty Midcap 50 Index
211,PSUBNKBEES,Nifty PSU Bank
212,PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF
213,VAL30IETF,Nifty200 Value 30 Index
214,NEXT50IETF,Nifty Next 50
215,ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF
216,PSUBANK,Nifty PSU Bank
217,CPSEETF,CPSE ETF
218,MOREALTY,Motilal Oswal Nifty Realty ETF
219,OILIETF,Nifty Oil & Gas Index
220,LICNETFSEN,SENSEX
221,EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index
222,ALPHA,NIFTY Alpha 50 Index
223,BANKPSU,Nifty PSU Bank Total Return Index
224,MAHKTECH,Hang Seng TECH Total Return Index
