Symbol,Underlying,SecurityName,DateofListing,MarketLot,ISINNumber,FaceValue
NIFTYBEES,Nifty50,NIPINDETFNIFTYBEES,08-Jan-02,1,INF204KB14I2,1
JUNIORBEES,NiftyNext50,NIPINDETFJUNIORBEES,06-Mar-03,1,INF732E01045,1.25
LIQUIDBEES,GovernmentSecurities,NIPINDETFLIQUIDBEES,16-Jul-03,1,INF732E01037,1000
BANKBEES,NiftyBank,NIPINDETFBANKBEES,04-Jun-04,1,INF204KB15I9,1
GOLDBEES,Gold,NIPINDETFGOLDBEES,19-Mar-07,1,INF204KB17I5,1
GOLDSHARE,Gold,UTIMutualFund-UTIGol,17-Apr-07,1,INF789F1AUX7,1
GOLD1,Gold,KotakMutualFund-Gold,08-Aug-07,1,INF174KA1HJ8,10
PSUBNKBEES,NiftyPSUBank,NIPINDETFPSUBANKBEES,01-Nov-07,1,INF204KB16I7,1
PSUBANK,NiftyPSUBank,KotakMahindraMutualFun,16-Nov-07,1,INF373I01023,10
QGOLDHALF,Gold,QuantumGoldFund-Exchan,28-Feb-08,1,INF082J01408,100
QNIFTY,Nifty50,QuantumNiftyETF,18-Jul-08,1,INF082J01028,10
SHARIABEES,Shariah,NIPINDETFSHARIAHBEES,01-Apr-09,1,INF732E01128,10
SETFGOLD,Gold,SBI-ETFGold,28-May-09,1,INF200KA16D8,100
NIFTY1,Nifty50,KotakNiftyETF,11-Feb-10,1,INF174K014P6,1
HNGSNGBEES,HangSengIndex,NIPINDETFHANGSENGBEES,18-Mar-10,1,INF204KB19I1,1
IVZINGOLD,Gold,InvescoIndiaGoldETF,22-Mar-10,1,INF205K01361,100
MOM50,Nifty50Index,MotilalOswalM50ETF,30-Jul-10,1,INF247L01536,7
HDFCGOLD,Gold,HDFCGoldETF,19-Aug-10,1,INF179KC1981,1
GOLDIETF,Gold,ICICIPrudGoldETF,02-Sep-10,1,INF109KC1NT3,1
INFRABEES,NiftyInfra,NIPINDETFINFRABEES,05-Oct-10,1,INF732E01268,10
AXISGOLD,Gold,AxisMF-AxisGoldETF,16-Nov-10,1,INF846K01W80,1
MOM100,NiftyMidcap100Index,MotilalOsMidcap100ETF,04-Feb-11,1,INF247L01023,10
MON100,NASDAQ-100Index,MotilalOsNASDAQ100ETF,31-Mar-11,1,INF247L01AP3,1
BSLGOLDETF,Gold,ABSLGoldETF-GO,20-May-11,1,INF209KB18D3,10
IVZINNIFTY,Nifty50,InvescoMF-NiftyETF,17-Jun-11,1,INF205K01DA9,10
BSLNIFTY,Nifty50,ABSLNiftyETF-GO,27-Jul-11,1,INF209KB19D1,10
LICMFGOLD,Gold,LICMF–LICGoldETF,17-Nov-11,1,INF397L01554,100
NIFTYIETF,Nifty50,ICICIPruNiftyETF,26-Mar-13,1,INF109K012R6,10
NIF100BEES,Nifty100,NIPINDETFNIFTY100,28-Mar-13,1,INF204K014N5,10
NIF100IETF,Nifty100,ICICIPruNifty100ETF,26-Aug-13,1,INF109KC16V9,10
CPSEETF,NiftyCPSE,CPSEETF,04-Apr-14,1,INF457M01133,10
CONSUMBEES,NiftyConsumption,NIPINDETFCONSUMPTION,11-Apr-14,1,INF204KA1LD7,10
DIVOPPBEES,NiftyDivOpps50,NIPINDETFDIVOPP,23-Apr-14,1,INF204KA1MS3,10
SENSEXIETF,SENSEX,ICICIPruSensexETF,23-Jul-14,1,INF346A01034,10
BANKNIFTY1,NiftyBank,KOTAKMAMC-KOTAKBKETF,11-Dec-14,1,INF174K01F59,10
LICNETFGSC,GSEC10NSEIndex,LICNAMC-LICNMFET,01-Jan-15,1,INF767K01MV5,10
SETFNIFBK,NiftyNext50,SBI-ETFNiftyBank,25-Mar-15,1,INF200KA1580,10
SETFNN50,NiftyBank,SBI-ETFNiftyNext50,25-Mar-15,1,INF200KA1598,10
NV20BEES,Nifty50Value20,NIPINDETFETFNV20,23-Jun-15,1,INF204KB18I3,1
SETFNIF50,Nifty50,SBI-ETFNifty50,27-Jul-15,1,INF200KA1FS1,10
UTINIFTETF,Nifty50,UTIAMC-UTINIFTETF,03-Sep-15,1,INF789F1AZC0,10
UTISENSETF,SENSEX,UTIAMC-UTISENSETF,03-Sep-15,1,INF789FB1X58,10
LICNETFN50,Nifty50,LICNAMC-LICNFENGP,30-Nov-15,1,INF767K01OS7,10
LICNETFSEN,SENSEX,LICNAMC-LICNFESGP,07-Dec-15,1,INF767K01OT5,10
NV20,Nifty50Value20,KOTAKMAMC-KTKNV20ETF,09-Dec-15,1,INF174K01Z71,10
HDFCNIFTY,Nifty50,HDFCAMC-HDFCNIFTY,16-Dec-15,1,INF179KC1965,76
HDFCSENSEX,SENSEX,HDFCAMC-HDFCSENSEX,16-Dec-15,1,INF179KC1HX2,250
EBANK,NiftyBank,EdelweissETF-NiftyBank,18-Dec-15,1,INF754K01EL1,10
LICNFNHGP,Nifty100,LICNAMC-LICNFNHGP,28-Mar-16,1,INF767K01PC8,10
SETF10GILT,Nifty10yrBenchmarkG-SecIndex,SBIAMC-SETF10GILT,17-Jun-16,1,INF200KA1JT1,10
NV20IETF,Nifty50Value20,ICICIPruNV20ETF,22-Jun-16,1,INF109KC11V0,10
MIDSELIETF,NiftyGS813Yr,ICICIPruMidcapSelETF,11-Jul-16,1,INF109KC10W0,10
LTGILTBEES,S&PBSEMidcapSelectIndex,NIPINDETFLONGTERMGILT,11-Jul-16,1,INF204KB1882,10
IDFNIFTYET,NIFTY50,BANDHANAMC-IDFNIFTYET,18-Oct-16,1,INF194KA1U07,10
AXISNIFTY,NIFTY50,AXISAMC-AXISNIFTY,10-Jul-17,1,INF846K01W98,10
LOWVOLIETF,Nifty100LowVolatility30Index,ICICIPruNiftyLowvol30,10-Jul-17,1,INF109KC19U5,10
UTINEXT50,NiftyNext50,UTIAMC-UTINEXT50,08-Aug-17,1,INF789F1AUW9,1
ICICIB22,S&PBSEBHARAT22index,ICICIPRAMC-BHARATIWIN,28-Nov-17,1,INF109KB15Y7,10
LIQUIDETF,Nifty1Drateindex,DSPAMC-LIQUIDETF,20-Mar-18,1,INF740KA1EU7,1000
BSE500IETF,S&PBSE500index,ICICIPRAMC-ICICI500,16-May-18,1,INF109KC1V59,10
NEXT50IETF,NiftyNext50,ICICIPRAMC-ICICINXT50,30-Aug-18,1,INF109KC1NS5,1
LIQUIDIETF,S&PBSELiquidRateIndex.,ICICIPRAMC-ICICILIQ,26-Sep-18,1,INF109KC1KT9,1000
NIFTYETF,Nifty50,MIRAEAMC-MAN50ETF,26-Nov-18,1,INF769K01EG9,100
SBIETFQLTY,Nifty200Quality30Index,SBIAMC-SBIETFQLTY,17-Dec-18,1,INF200KA1WX6,10
ABSLNN50ET,NiftyNext50,BIRLASLAMC-ABSLNN50ET,21-Dec-18,1,INF209KB16D7,10
NETF,TataNifty50ExchangeTradedFund,TATAAML-NETF,04-Jan-19,1,INF277K015R5,10
MID150BEES,NiftyMidcap150,NIPINDETFMIDCAP150,04-Feb-19,1,INF204KB1V68,10
UTISXN50,BSESensexNext50,UTIAMC-UTISXN50,13-Mar-19,1,INF789F1AUU3,1
IBMFNIFTY,Nifty50,IBULLSAMC-IBMFNIFTY,08-May-19,1,INF666M01FS5,10
BANKIETF,NiftyBankIndex,ICICIPRAMC-IPRU5008,15-Jul-19,1,INF109KC15I8,10
PVTBANIETF,NiftyPrivateBankIndex,ICICIPRAMC-ICICIBANKP,14-Aug-19,1,INF109KC18U7,10
NPBET,NiftyPrivateBankIndex,TATAAML-NPBET,09-Sep-19,1,INF277K010X4,10
ABSLBANETF,NiftyBank,BIRLASLAMC-ABSLBANETF,30-Oct-19,1,INF209KB17D5,10
EBBETF0423,NiftyBHARATBond,EDELAMC-EBBETF0423,02-Jan-20,1,INF754K01KN4,1000
EBBETF0430,NiftyBHARATBond,EDELAMC-EBBETF0430,02-Jan-20,1,INF754K01KO2,1000
MIDCAPIETF,NiftyMidcap150,ICICIPRAMC-ICICIM150,28-Jan-20,1,INF109KC11W8,10
NEXT50,NiftyNext50,MIRAEAMC-MANXT50,30-Jan-20,1,INF769K01FN2,275
